2026-04-10 17:09:59 | DEBUG    | hf_rubert_baseline |   batch 3850 | loss 0.9164 | lr 3.70e-06 | GPU 2.87 GB
2026-04-10 17:10:03 | DEBUG    | hf_rubert_baseline |   batch 3900 | loss 0.8378 | lr 3.77e-06 | GPU 2.88 GB
2026-04-10 17:10:08 | DEBUG    | hf_rubert_baseline |   batch 3950 | loss 0.8419 | lr 3.84e-06 | GPU 2.88 GB
2026-04-10 17:10:13 | DEBUG    | hf_rubert_baseline |   batch 4000 | loss 0.9076 | lr 3.92e-06 | GPU 2.88 GB
2026-04-10 17:10:18 | DEBUG    | hf_rubert_baseline |   batch 4050 | loss 1.0334 | lr 3.99e-06 | GPU 2.88 GB
2026-04-10 17:10:22 | DEBUG    | hf_rubert_baseline |   batch 4100 | loss 0.6999 | lr 4.06e-06 | GPU 2.88 GB
2026-04-10 17:10:27 | DEBUG    | hf_rubert_baseline |   batch 4150 | loss 1.0535 | lr 4.14e-06 | GPU 2.87 GB
2026-04-10 17:10:32 | DEBUG    | hf_rubert_baseline |   batch 4200 | loss 0.8400 | lr 4.22e-06 | GPU 2.88 GB
2026-04-10 17:10:37 | DEBUG    | hf_rubert_baseline |   batch 4250 | loss 0.9606 | lr 4.29e-06 | GPU 2.87 GB
2026-04-10 17:10:41 | DEBUG    | hf_rubert_baseline |   batch 4300 | loss 0.9629 | lr 4.37e-06 | GPU 2.87 GB
2026-04-10 17:10:46 | DEBUG    | hf_rubert_baseline |   batch 4350 | loss 0.8797 | lr 4.45e-06 | GPU 2.88 GB
2026-04-10 17:10:51 | DEBUG    | hf_rubert_baseline |   batch 4400 | loss 0.8056 | lr 4.53e-06 | GPU 2.88 GB
2026-04-10 17:10:56 | DEBUG    | hf_rubert_baseline |   batch 4450 | loss 0.7259 | lr 4.60e-06 | GPU 2.88 GB
2026-04-10 17:11:00 | DEBUG    | hf_rubert_baseline |   batch 4500 | loss 0.9097 | lr 4.68e-06 | GPU 2.88 GB
2026-04-10 17:11:05 | DEBUG    | hf_rubert_baseline |   batch 4550 | loss 0.8837 | lr 4.76e-06 | GPU 2.88 GB
2026-04-10 17:11:10 | DEBUG    | hf_rubert_baseline |   batch 4600 | loss 0.8047 | lr 4.85e-06 | GPU 2.88 GB
2026-04-10 17:11:15 | DEBUG    | hf_rubert_baseline |   batch 4650 | loss 0.9447 | lr 4.93e-06 | GPU 2.88 GB
2026-04-10 17:11:20 | DEBUG    | hf_rubert_baseline |   batch 4700 | loss 1.2821 | lr 5.01e-06 | GPU 2.88 GB
2026-04-10 17:11:24 | DEBUG    | hf_rubert_baseline |   batch 4750 | loss 0.8633 | lr 5.09e-06 | GPU 2.87 GB
2026-04-10 17:11:29 | DEBUG    | hf_rubert_baseline |   batch 4800 | loss 0.8400 | lr 5.17e-06 | GPU 2.88 GB
2026-04-10 17:11:34 | DEBUG    | hf_rubert_baseline |   batch 4850 | loss 0.5825 | lr 5.26e-06 | GPU 2.88 GB
2026-04-10 17:11:38 | DEBUG    | hf_rubert_baseline |   batch 4900 | loss 1.1176 | lr 5.34e-06 | GPU 2.87 GB
2026-04-10 17:11:43 | DEBUG    | hf_rubert_baseline |   batch 4950 | loss 1.0484 | lr 5.43e-06 | GPU 2.88 GB
2026-04-10 17:11:48 | DEBUG    | hf_rubert_baseline |   batch 5000 | loss 1.0100 | lr 5.51e-06 | GPU 2.88 GB
2026-04-10 17:11:53 | DEBUG    | hf_rubert_baseline |   batch 5050 | loss 0.7344 | lr 5.60e-06 | GPU 2.88 GB
2026-04-10 17:13:35 | INFO     | hf_rubert_baseline | Epoch 1/30 | train_loss 1.0199 | val_loss 0.8793 | train_UA 0.4889 | val_UA 0.5873 | val_F1 0.5576 | time 628.9s | ETA 18239.5s
2026-04-10 17:13:54 | DEBUG    | hf_rubert_baseline |   batch 50 | loss 0.7158 | lr 5.69e-06 | GPU 2.87 GB
2026-04-10 17:13:59 | DEBUG    | hf_rubert_baseline |   batch 100 | loss 0.8689 | lr 5.77e-06 | GPU 2.88 GB
2026-04-10 17:14:04 | DEBUG    | hf_rubert_baseline |   batch 150 | loss 0.8118 | lr 5.86e-06 | GPU 2.88 GB
2026-04-10 17:14:08 | DEBUG    | hf_rubert_baseline |   batch 200 | loss 0.8438 | lr 5.95e-06 | GPU 2.88 GB
2026-04-10 17:14:13 | DEBUG    | hf_rubert_baseline |   batch 250 | loss 1.0362 | lr 6.04e-06 | GPU 2.87 GB
2026-04-10 17:14:18 | DEBUG    | hf_rubert_baseline |   batch 300 | loss 0.7019 | lr 6.13e-06 | GPU 2.88 GB
2026-04-10 17:14:23 | DEBUG    | hf_rubert_baseline |   batch 350 | loss 0.8702 | lr 6.22e-06 | GPU 2.87 GB
2026-04-10 17:14:28 | DEBUG    | hf_rubert_baseline |   batch 400 | loss 1.0704 | lr 6.31e-06 | GPU 2.88 GB
2026-04-10 17:14:32 | DEBUG    | hf_rubert_baseline |   batch 450 | loss 0.7237 | lr 6.40e-06 | GPU 2.88 GB
2026-04-10 17:14:37 | DEBUG    | hf_rubert_baseline |   batch 500 | loss 0.8213 | lr 6.49e-06 | GPU 2.88 GB
2026-04-10 17:14:41 | DEBUG    | hf_rubert_baseline |   batch 550 | loss 1.0269 | lr 6.58e-06 | GPU 2.87 GB
2026-04-10 17:14:46 | DEBUG    | hf_rubert_baseline |   batch 600 | loss 0.6351 | lr 6.67e-06 | GPU 2.88 GB
2026-04-10 17:14:51 | DEBUG    | hf_rubert_baseline |   batch 650 | loss 0.7973 | lr 6.76e-06 | GPU 2.87 GB
2026-04-10 17:14:56 | DEBUG    | hf_rubert_baseline |   batch 700 | loss 1.1279 | lr 6.85e-06 | GPU 2.88 GB
2026-04-10 17:15:00 | DEBUG    | hf_rubert_baseline |   batch 750 | loss 0.9134 | lr 6.95e-06 | GPU 2.87 GB
2026-04-10 17:15:05 | DEBUG    | hf_rubert_baseline |   batch 800 | loss 1.3204 | lr 7.04e-06 | GPU 2.88 GB
2026-04-10 17:15:10 | DEBUG    | hf_rubert_baseline |   batch 850 | loss 0.8850 | lr 7.13e-06 | GPU 2.88 GB
2026-04-10 17:15:14 | DEBUG    | hf_rubert_baseline |   batch 900 | loss 0.9746 | lr 7.23e-06 | GPU 2.87 GB
2026-04-10 17:15:19 | DEBUG    | hf_rubert_baseline |   batch 950 | loss 0.7920 | lr 7.32e-06 | GPU 2.88 GB
2026-04-10 17:15:24 | DEBUG    | hf_rubert_baseline |   batch 1000 | loss 0.7577 | lr 7.41e-06 | GPU 2.87 GB
2026-04-10 17:15:29 | DEBUG    | hf_rubert_baseline |   batch 1050 | loss 0.9226 | lr 7.51e-06 | GPU 2.88 GB
2026-04-10 17:15:33 | DEBUG    | hf_rubert_baseline |   batch 1100 | loss 0.7786 | lr 7.60e-06 | GPU 2.88 GB
2026-04-10 17:15:38 | DEBUG    | hf_rubert_baseline |   batch 1150 | loss 0.7105 | lr 7.70e-06 | GPU 2.88 GB
2026-04-10 17:15:43 | DEBUG    | hf_rubert_baseline |   batch 1200 | loss 0.8156 | lr 7.80e-06 | GPU 2.88 GB
2026-04-10 17:15:48 | DEBUG    | hf_rubert_baseline |   batch 1250 | loss 1.0028 | lr 7.89e-06 | GPU 2.88 GB
2026-04-10 17:15:52 | DEBUG    | hf_rubert_baseline |   batch 1300 | loss 0.8204 | lr 7.99e-06 | GPU 2.88 GB
2026-04-10 17:15:57 | DEBUG    | hf_rubert_baseline |   batch 1350 | loss 0.9186 | lr 8.08e-06 | GPU 2.88 GB
2026-04-10 17:16:02 | DEBUG    | hf_rubert_baseline |   batch 1400 | loss 0.9601 | lr 8.18e-06 | GPU 2.88 GB
2026-04-10 17:16:06 | DEBUG    | hf_rubert_baseline |   batch 1450 | loss 0.7474 | lr 8.28e-06 | GPU 2.87 GB
2026-04-10 17:16:11 | DEBUG    | hf_rubert_baseline |   batch 1500 | loss 0.7565 | lr 8.38e-06 | GPU 2.87 GB
2026-04-10 17:16:16 | DEBUG    | hf_rubert_baseline |   batch 1550 | loss 0.8580 | lr 8.47e-06 | GPU 2.88 GB
2026-04-10 17:16:21 | DEBUG    | hf_rubert_baseline |   batch 1600 | loss 0.7991 | lr 8.57e-06 | GPU 2.88 GB
2026-04-10 17:16:25 | DEBUG    | hf_rubert_baseline |   batch 1650 | loss 0.9939 | lr 8.67e-06 | GPU 2.87 GB
2026-04-10 17:16:30 | DEBUG    | hf_rubert_baseline |   batch 1700 | loss 0.8297 | lr 8.77e-06 | GPU 2.88 GB
2026-04-10 17:16:35 | DEBUG    | hf_rubert_baseline |   batch 1750 | loss 0.6421 | lr 8.86e-06 | GPU 2.88 GB
2026-04-10 17:16:39 | DEBUG    | hf_rubert_baseline |   batch 1800 | loss 0.6607 | lr 8.96e-06 | GPU 2.88 GB
2026-04-10 17:16:44 | DEBUG    | hf_rubert_baseline |   batch 1850 | loss 1.0162 | lr 9.06e-06 | GPU 2.88 GB
2026-04-10 17:16:49 | DEBUG    | hf_rubert_baseline |   batch 1900 | loss 1.2115 | lr 9.16e-06 | GPU 2.88 GB
2026-04-10 17:16:54 | DEBUG    | hf_rubert_baseline |   batch 1950 | loss 0.9552 | lr 9.26e-06 | GPU 2.88 GB
2026-04-10 17:16:58 | DEBUG    | hf_rubert_baseline |   batch 2000 | loss 0.7920 | lr 9.36e-06 | GPU 2.88 GB
2026-04-10 17:17:03 | DEBUG    | hf_rubert_baseline |   batch 2050 | loss 0.7641 | lr 9.46e-06 | GPU 2.88 GB
2026-04-10 17:17:08 | DEBUG    | hf_rubert_baseline |   batch 2100 | loss 0.8117 | lr 9.56e-06 | GPU 2.88 GB
2026-04-10 17:17:13 | DEBUG    | hf_rubert_baseline |   batch 2150 | loss 0.8984 | lr 9.65e-06 | GPU 2.87 GB
2026-04-10 17:17:17 | DEBUG    | hf_rubert_baseline |   batch 2200 | loss 0.7940 | lr 9.75e-06 | GPU 2.88 GB
2026-04-10 17:17:22 | DEBUG    | hf_rubert_baseline |   batch 2250 | loss 1.0969 | lr 9.85e-06 | GPU 2.88 GB
2026-04-10 17:17:27 | DEBUG    | hf_rubert_baseline |   batch 2300 | loss 0.7530 | lr 9.95e-06 | GPU 2.88 GB
2026-04-10 17:17:31 | DEBUG    | hf_rubert_baseline |   batch 2350 | loss 1.0592 | lr 1.01e-05 | GPU 2.88 GB
2026-04-10 17:17:36 | DEBUG    | hf_rubert_baseline |   batch 2400 | loss 1.0796 | lr 1.02e-05 | GPU 2.88 GB
2026-04-10 17:17:41 | DEBUG    | hf_rubert_baseline |   batch 2450 | loss 0.5700 | lr 1.03e-05 | GPU 2.87 GB
2026-04-10 17:17:46 | DEBUG    | hf_rubert_baseline |   batch 2500 | loss 0.9799 | lr 1.04e-05 | GPU 2.87 GB
2026-04-10 17:17:50 | DEBUG    | hf_rubert_baseline |   batch 2550 | loss 1.3308 | lr 1.04e-05 | GPU 2.87 GB
2026-04-10 17:17:55 | DEBUG    | hf_rubert_baseline |   batch 2600 | loss 1.0020 | lr 1.05e-05 | GPU 2.88 GB
2026-04-10 17:18:00 | DEBUG    | hf_rubert_baseline |   batch 2650 | loss 0.5727 | lr 1.06e-05 | GPU 2.87 GB
