2026-04-10 02:38:56 | DEBUG    | hf_rubert_baseline |   batch 5000 | loss 1.0398 | lr 5.51e-06 | GPU 2.88 GB
2026-04-10 02:39:25 | DEBUG    | hf_rubert_baseline |   batch 5050 | loss 0.6541 | lr 5.60e-06 | GPU 2.88 GB
2026-04-10 02:41:56 | INFO     | hf_rubert_baseline | Epoch 1/30 | train_loss 1.0606 | val_loss 0.9014 | train_UA 0.5324 | val_UA 0.6133 | val_F1 0.4956 | time 1537.3s | ETA 44582.4s
2026-04-10 02:42:30 | DEBUG    | hf_rubert_baseline |   batch 50 | loss 0.6137 | lr 5.69e-06 | GPU 2.87 GB
2026-04-10 02:42:42 | DEBUG    | hf_rubert_baseline |   batch 100 | loss 0.9754 | lr 5.77e-06 | GPU 2.88 GB
2026-04-10 02:42:53 | DEBUG    | hf_rubert_baseline |   batch 150 | loss 0.6792 | lr 5.86e-06 | GPU 2.88 GB
2026-04-10 02:43:04 | DEBUG    | hf_rubert_baseline |   batch 200 | loss 0.8673 | lr 5.95e-06 | GPU 2.88 GB
2026-04-10 02:43:15 | DEBUG    | hf_rubert_baseline |   batch 250 | loss 1.2023 | lr 6.04e-06 | GPU 2.87 GB
2026-04-10 02:43:26 | DEBUG    | hf_rubert_baseline |   batch 300 | loss 0.6851 | lr 6.13e-06 | GPU 2.88 GB
2026-04-10 02:43:38 | DEBUG    | hf_rubert_baseline |   batch 350 | loss 0.7786 | lr 6.22e-06 | GPU 2.87 GB
2026-04-10 02:43:50 | DEBUG    | hf_rubert_baseline |   batch 400 | loss 1.1163 | lr 6.31e-06 | GPU 2.88 GB
2026-04-10 02:44:04 | DEBUG    | hf_rubert_baseline |   batch 450 | loss 0.6696 | lr 6.40e-06 | GPU 2.88 GB
2026-04-10 02:44:17 | DEBUG    | hf_rubert_baseline |   batch 500 | loss 0.9702 | lr 6.49e-06 | GPU 2.88 GB
2026-04-10 02:44:28 | DEBUG    | hf_rubert_baseline |   batch 550 | loss 0.9947 | lr 6.58e-06 | GPU 2.87 GB
2026-04-10 02:44:40 | DEBUG    | hf_rubert_baseline |   batch 600 | loss 0.5592 | lr 6.67e-06 | GPU 2.88 GB
2026-04-10 02:44:52 | DEBUG    | hf_rubert_baseline |   batch 650 | loss 0.6583 | lr 6.76e-06 | GPU 2.87 GB
2026-04-10 02:45:03 | DEBUG    | hf_rubert_baseline |   batch 700 | loss 1.1211 | lr 6.85e-06 | GPU 2.88 GB
2026-04-10 02:45:11 | DEBUG    | hf_rubert_baseline |   batch 750 | loss 1.1504 | lr 6.95e-06 | GPU 2.87 GB
2026-04-10 02:45:25 | DEBUG    | hf_rubert_baseline |   batch 800 | loss 1.3346 | lr 7.04e-06 | GPU 2.88 GB
2026-04-10 02:45:36 | DEBUG    | hf_rubert_baseline |   batch 850 | loss 0.8646 | lr 7.13e-06 | GPU 2.88 GB
2026-04-10 02:45:45 | DEBUG    | hf_rubert_baseline |   batch 900 | loss 0.9548 | lr 7.23e-06 | GPU 2.87 GB
2026-04-10 02:45:58 | DEBUG    | hf_rubert_baseline |   batch 950 | loss 0.8085 | lr 7.32e-06 | GPU 2.88 GB
2026-04-10 02:46:11 | DEBUG    | hf_rubert_baseline |   batch 1000 | loss 0.7169 | lr 7.41e-06 | GPU 2.87 GB
2026-04-10 02:46:23 | DEBUG    | hf_rubert_baseline |   batch 1050 | loss 0.9552 | lr 7.51e-06 | GPU 2.88 GB
2026-04-10 02:46:35 | DEBUG    | hf_rubert_baseline |   batch 1100 | loss 0.8026 | lr 7.60e-06 | GPU 2.88 GB
2026-04-10 02:46:47 | DEBUG    | hf_rubert_baseline |   batch 1150 | loss 0.8883 | lr 7.70e-06 | GPU 2.88 GB
2026-04-10 02:46:56 | DEBUG    | hf_rubert_baseline |   batch 1200 | loss 0.9078 | lr 7.80e-06 | GPU 2.88 GB
2026-04-10 02:47:08 | DEBUG    | hf_rubert_baseline |   batch 1250 | loss 1.0740 | lr 7.89e-06 | GPU 2.88 GB
2026-04-10 02:47:20 | DEBUG    | hf_rubert_baseline |   batch 1300 | loss 0.8435 | lr 7.99e-06 | GPU 2.88 GB
2026-04-10 02:47:32 | DEBUG    | hf_rubert_baseline |   batch 1350 | loss 0.8342 | lr 8.08e-06 | GPU 2.88 GB
2026-04-10 02:47:44 | DEBUG    | hf_rubert_baseline |   batch 1400 | loss 0.9669 | lr 8.18e-06 | GPU 2.88 GB
2026-04-10 02:47:55 | DEBUG    | hf_rubert_baseline |   batch 1450 | loss 0.6874 | lr 8.28e-06 | GPU 2.87 GB
2026-04-10 02:48:07 | DEBUG    | hf_rubert_baseline |   batch 1500 | loss 0.6462 | lr 8.38e-06 | GPU 2.87 GB
2026-04-10 02:48:19 | DEBUG    | hf_rubert_baseline |   batch 1550 | loss 0.7725 | lr 8.47e-06 | GPU 2.88 GB
2026-04-10 02:48:31 | DEBUG    | hf_rubert_baseline |   batch 1600 | loss 0.9564 | lr 8.57e-06 | GPU 2.88 GB
2026-04-10 02:48:42 | DEBUG    | hf_rubert_baseline |   batch 1650 | loss 1.1551 | lr 8.67e-06 | GPU 2.87 GB
2026-04-10 02:48:54 | DEBUG    | hf_rubert_baseline |   batch 1700 | loss 0.7953 | lr 8.77e-06 | GPU 2.88 GB
2026-04-10 02:49:06 | DEBUG    | hf_rubert_baseline |   batch 1750 | loss 0.6637 | lr 8.86e-06 | GPU 2.88 GB
2026-04-10 02:49:18 | DEBUG    | hf_rubert_baseline |   batch 1800 | loss 0.7167 | lr 8.96e-06 | GPU 2.88 GB
2026-04-10 02:49:29 | DEBUG    | hf_rubert_baseline |   batch 1850 | loss 0.9885 | lr 9.06e-06 | GPU 2.88 GB
2026-04-10 02:49:41 | DEBUG    | hf_rubert_baseline |   batch 1900 | loss 1.4019 | lr 9.16e-06 | GPU 2.88 GB
2026-04-10 02:49:53 | DEBUG    | hf_rubert_baseline |   batch 1950 | loss 1.0569 | lr 9.26e-06 | GPU 2.88 GB
2026-04-10 02:50:04 | DEBUG    | hf_rubert_baseline |   batch 2000 | loss 0.8092 | lr 9.36e-06 | GPU 2.88 GB
2026-04-10 02:50:16 | DEBUG    | hf_rubert_baseline |   batch 2050 | loss 0.7212 | lr 9.46e-06 | GPU 2.88 GB
2026-04-10 02:50:28 | DEBUG    | hf_rubert_baseline |   batch 2100 | loss 0.7460 | lr 9.56e-06 | GPU 2.88 GB
2026-04-10 02:50:38 | DEBUG    | hf_rubert_baseline |   batch 2150 | loss 0.8639 | lr 9.65e-06 | GPU 2.87 GB
2026-04-10 02:50:49 | DEBUG    | hf_rubert_baseline |   batch 2200 | loss 0.7373 | lr 9.75e-06 | GPU 2.88 GB
