2026-04-11 17:52:35 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_17-52-35_coda_uniattn.log
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:35 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 17:52:35 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 17:52:35 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 17:52:35 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:39 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 17:57:00 | DEBUG    | coda_uniattn |   batch 4300 | loss 0.5490 | grad 1.8886 | lr 8.81e-06 | GPU 0.78 GB
2026-04-11 17:57:02 | DEBUG    | coda_uniattn |   batch 4350 | loss 1.0248 | grad 1.9655 | lr 8.92e-06 | GPU 0.77 GB
2026-04-11 17:57:03 | DEBUG    | coda_uniattn |   batch 4400 | loss 1.0769 | grad 2.0875 | lr 9.04e-06 | GPU 0.77 GB
2026-04-11 17:57:05 | DEBUG    | coda_uniattn |   batch 4450 | loss 0.9608 | grad 1.8672 | lr 9.15e-06 | GPU 0.77 GB
2026-04-11 17:57:06 | DEBUG    | coda_uniattn |   batch 4500 | loss 0.6749 | grad 1.9225 | lr 9.26e-06 | GPU 0.77 GB
2026-04-11 17:57:08 | DEBUG    | coda_uniattn |   batch 4550 | loss 0.9266 | grad 1.9758 | lr 9.38e-06 | GPU 0.77 GB
2026-04-11 17:57:10 | DEBUG    | coda_uniattn |   batch 4600 | loss 0.7472 | grad 1.8488 | lr 9.49e-06 | GPU 0.78 GB
2026-04-11 17:57:11 | DEBUG    | coda_uniattn |   batch 4650 | loss 0.7642 | grad 1.7201 | lr 9.61e-06 | GPU 0.77 GB
2026-04-11 17:57:13 | DEBUG    | coda_uniattn |   batch 4700 | loss 0.8626 | grad 2.1524 | lr 9.73e-06 | GPU 0.78 GB
2026-04-11 17:57:14 | DEBUG    | coda_uniattn |   batch 4750 | loss 1.0738 | grad 2.0442 | lr 9.85e-06 | GPU 0.77 GB
2026-04-11 17:57:16 | DEBUG    | coda_uniattn |   batch 4800 | loss 1.1398 | grad 2.0375 | lr 9.97e-06 | GPU 0.77 GB
2026-04-11 17:57:17 | DEBUG    | coda_uniattn |   batch 4850 | loss 0.9110 | grad 1.9266 | lr 1.01e-05 | GPU 0.77 GB
2026-04-11 17:57:19 | DEBUG    | coda_uniattn |   batch 4900 | loss 0.8684 | grad 2.0699 | lr 1.02e-05 | GPU 0.77 GB
2026-04-11 17:57:20 | DEBUG    | coda_uniattn |   batch 4950 | loss 0.6855 | grad 1.9615 | lr 1.03e-05 | GPU 0.78 GB
2026-04-11 17:57:22 | DEBUG    | coda_uniattn |   batch 5000 | loss 1.1224 | grad 1.9377 | lr 1.05e-05 | GPU 0.77 GB
2026-04-11 17:57:23 | DEBUG    | coda_uniattn |   batch 5050 | loss 0.6686 | grad 2.1402 | lr 1.06e-05 | GPU 0.77 GB
2026-04-11 17:57:25 | DEBUG    | coda_uniattn |   batch 5100 | loss 1.2146 | grad 2.1273 | lr 1.07e-05 | GPU 0.78 GB
2026-04-11 17:57:27 | DEBUG    | coda_uniattn |   batch 5150 | loss 0.7787 | grad 2.0038 | lr 1.09e-05 | GPU 0.77 GB
2026-04-11 17:57:28 | DEBUG    | coda_uniattn |   batch 5200 | loss 0.5517 | grad 1.8532 | lr 1.10e-05 | GPU 0.77 GB
2026-04-11 17:57:30 | DEBUG    | coda_uniattn |   batch 5250 | loss 1.0546 | grad 1.9640 | lr 1.11e-05 | GPU 0.77 GB
2026-04-11 17:57:31 | DEBUG    | coda_uniattn |   batch 5300 | loss 0.9265 | grad 1.9696 | lr 1.12e-05 | GPU 0.77 GB
2026-04-11 17:57:33 | DEBUG    | coda_uniattn |   batch 5350 | loss 1.0042 | grad 2.0320 | lr 1.14e-05 | GPU 0.77 GB
2026-04-11 17:57:34 | DEBUG    | coda_uniattn |   batch 5400 | loss 0.4840 | grad 1.8930 | lr 1.15e-05 | GPU 0.77 GB
2026-04-11 17:57:36 | DEBUG    | coda_uniattn |   batch 5450 | loss 0.5959 | grad 1.9832 | lr 1.17e-05 | GPU 0.78 GB
2026-04-11 17:57:37 | DEBUG    | coda_uniattn |   batch 5500 | loss 1.0159 | grad 2.2045 | lr 1.18e-05 | GPU 0.78 GB
2026-04-11 17:57:39 | DEBUG    | coda_uniattn |   batch 5550 | loss 0.7439 | grad 1.8871 | lr 1.19e-05 | GPU 0.77 GB
2026-04-11 17:57:41 | DEBUG    | coda_uniattn |   batch 5600 | loss 1.0013 | grad 2.0055 | lr 1.21e-05 | GPU 0.77 GB
2026-04-11 17:57:42 | DEBUG    | coda_uniattn |   batch 5650 | loss 0.8281 | grad 1.8435 | lr 1.22e-05 | GPU 0.77 GB
2026-04-11 17:57:44 | DEBUG    | coda_uniattn |   batch 5700 | loss 0.6595 | grad 2.1512 | lr 1.23e-05 | GPU 0.77 GB
2026-04-11 17:57:45 | DEBUG    | coda_uniattn |   batch 5750 | loss 0.3510 | grad 1.8494 | lr 1.25e-05 | GPU 0.77 GB
2026-04-11 17:57:47 | DEBUG    | coda_uniattn |   batch 5800 | loss 1.0102 | grad 1.9300 | lr 1.26e-05 | GPU 0.78 GB
2026-04-11 17:57:48 | DEBUG    | coda_uniattn |   batch 5850 | loss 1.0591 | grad 2.0131 | lr 1.28e-05 | GPU 0.77 GB
2026-04-11 17:57:50 | DEBUG    | coda_uniattn |   batch 5900 | loss 0.5635 | grad 2.2914 | lr 1.29e-05 | GPU 0.77 GB
2026-04-11 17:57:51 | DEBUG    | coda_uniattn |   batch 5950 | loss 0.9191 | grad 2.3496 | lr 1.31e-05 | GPU 0.77 GB
