2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 03:07:02 | DEBUG    | coda_full |   batch 4900 | loss 1.1132 | grad 2.5559 | lr 1.02e-05 | GPU 0.80 GB
2026-04-12 03:07:09 | DEBUG    | coda_full |   batch 4950 | loss 0.8073 | grad 1.8733 | lr 1.03e-05 | GPU 0.81 GB
2026-04-12 03:07:18 | DEBUG    | coda_full |   batch 5000 | loss 0.8765 | grad 2.6257 | lr 1.05e-05 | GPU 0.80 GB
2026-04-12 03:07:27 | DEBUG    | coda_full |   batch 5050 | loss 1.4604 | grad 2.5138 | lr 1.06e-05 | GPU 0.81 GB
2026-04-12 03:07:35 | DEBUG    | coda_full |   batch 5100 | loss 1.0459 | grad 2.3663 | lr 1.07e-05 | GPU 0.80 GB
2026-04-12 03:07:43 | DEBUG    | coda_full |   batch 5150 | loss 0.5880 | grad 2.4856 | lr 1.09e-05 | GPU 0.80 GB
2026-04-12 03:07:51 | DEBUG    | coda_full |   batch 5200 | loss 0.7111 | grad 2.0764 | lr 1.10e-05 | GPU 0.80 GB
2026-04-12 03:07:59 | DEBUG    | coda_full |   batch 5250 | loss 1.0928 | grad 3.0965 | lr 1.11e-05 | GPU 0.80 GB
2026-04-12 03:08:07 | DEBUG    | coda_full |   batch 5300 | loss 0.6719 | grad 3.1482 | lr 1.12e-05 | GPU 0.80 GB
2026-04-12 03:08:15 | DEBUG    | coda_full |   batch 5350 | loss 1.1133 | grad 2.3438 | lr 1.14e-05 | GPU 0.80 GB
2026-04-12 03:08:23 | DEBUG    | coda_full |   batch 5400 | loss 0.8702 | grad 2.9312 | lr 1.15e-05 | GPU 0.80 GB
2026-04-12 03:08:32 | DEBUG    | coda_full |   batch 5450 | loss 0.8761 | grad 3.0049 | lr 1.17e-05 | GPU 0.80 GB
2026-04-12 03:08:40 | DEBUG    | coda_full |   batch 5500 | loss 0.7473 | grad 2.7924 | lr 1.18e-05 | GPU 0.80 GB
2026-04-12 03:08:48 | DEBUG    | coda_full |   batch 5550 | loss 0.5700 | grad 2.5400 | lr 1.19e-05 | GPU 0.80 GB
2026-04-12 03:08:56 | DEBUG    | coda_full |   batch 5600 | loss 0.7355 | grad 3.1155 | lr 1.21e-05 | GPU 0.81 GB
