2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:25:02 | DEBUG    | coda_biattn |   batch 3150 | loss 1.2285 | grad 1.6362 | lr 6.60e-06 | GPU 0.79 GB
2026-04-11 19:25:04 | DEBUG    | coda_biattn |   batch 3200 | loss 1.2798 | grad 1.6925 | lr 6.69e-06 | GPU 0.78 GB
2026-04-11 19:25:05 | DEBUG    | coda_biattn |   batch 3250 | loss 0.7545 | grad 1.6312 | lr 6.77e-06 | GPU 0.78 GB
2026-04-11 19:25:07 | DEBUG    | coda_biattn |   batch 3300 | loss 1.0628 | grad 1.8481 | lr 6.85e-06 | GPU 0.79 GB
2026-04-11 19:25:09 | DEBUG    | coda_biattn |   batch 3350 | loss 0.7882 | grad 1.7055 | lr 6.94e-06 | GPU 0.78 GB
2026-04-11 19:25:11 | DEBUG    | coda_biattn |   batch 3400 | loss 1.1494 | grad 1.6963 | lr 7.03e-06 | GPU 0.78 GB
2026-04-11 19:25:13 | DEBUG    | coda_biattn |   batch 3450 | loss 0.8389 | grad 1.7594 | lr 7.12e-06 | GPU 0.79 GB
2026-04-11 19:25:14 | DEBUG    | coda_biattn |   batch 3500 | loss 0.9996 | grad 1.7647 | lr 7.21e-06 | GPU 0.79 GB
2026-04-11 19:25:16 | DEBUG    | coda_biattn |   batch 3550 | loss 1.1832 | grad 1.7505 | lr 7.30e-06 | GPU 0.78 GB
2026-04-11 19:25:18 | DEBUG    | coda_biattn |   batch 3600 | loss 0.8343 | grad 1.6609 | lr 7.39e-06 | GPU 0.79 GB
2026-04-11 19:25:20 | DEBUG    | coda_biattn |   batch 3650 | loss 0.7307 | grad 1.7415 | lr 7.48e-06 | GPU 0.79 GB
2026-04-11 19:25:22 | DEBUG    | coda_biattn |   batch 3700 | loss 1.1216 | grad 1.7903 | lr 7.58e-06 | GPU 0.79 GB
2026-04-11 19:25:23 | DEBUG    | coda_biattn |   batch 3750 | loss 1.4215 | grad 1.6622 | lr 7.68e-06 | GPU 0.79 GB
2026-04-11 19:25:25 | DEBUG    | coda_biattn |   batch 3800 | loss 1.4838 | grad 1.8531 | lr 7.77e-06 | GPU 0.78 GB
2026-04-11 19:25:27 | DEBUG    | coda_biattn |   batch 3850 | loss 1.4033 | grad 1.8108 | lr 7.87e-06 | GPU 0.79 GB
2026-04-11 19:25:29 | DEBUG    | coda_biattn |   batch 3900 | loss 0.9633 | grad 1.9141 | lr 7.97e-06 | GPU 0.78 GB
2026-04-11 19:25:31 | DEBUG    | coda_biattn |   batch 3950 | loss 1.6034 | grad 1.7122 | lr 8.07e-06 | GPU 0.78 GB
2026-04-11 19:25:33 | DEBUG    | coda_biattn |   batch 4000 | loss 1.0160 | grad 1.7438 | lr 8.17e-06 | GPU 0.78 GB
2026-04-11 19:25:34 | DEBUG    | coda_biattn |   batch 4050 | loss 1.0876 | grad 1.6629 | lr 8.28e-06 | GPU 0.78 GB
2026-04-11 19:25:36 | DEBUG    | coda_biattn |   batch 4100 | loss 0.7191 | grad 1.8742 | lr 8.38e-06 | GPU 0.78 GB
2026-04-11 19:25:38 | DEBUG    | coda_biattn |   batch 4150 | loss 1.0365 | grad 1.7205 | lr 8.49e-06 | GPU 0.79 GB
2026-04-11 19:25:40 | DEBUG    | coda_biattn |   batch 4200 | loss 1.2352 | grad 1.7287 | lr 8.60e-06 | GPU 0.79 GB
2026-04-11 19:25:42 | DEBUG    | coda_biattn |   batch 4250 | loss 1.1930 | grad 1.8268 | lr 8.70e-06 | GPU 0.78 GB
2026-04-11 19:25:43 | DEBUG    | coda_biattn |   batch 4300 | loss 1.5003 | grad 1.7937 | lr 8.81e-06 | GPU 0.79 GB
2026-04-11 19:25:45 | DEBUG    | coda_biattn |   batch 4350 | loss 0.8914 | grad 1.6873 | lr 8.92e-06 | GPU 0.78 GB
2026-04-11 19:25:47 | DEBUG    | coda_biattn |   batch 4400 | loss 0.8738 | grad 1.7344 | lr 9.04e-06 | GPU 0.78 GB
2026-04-11 19:25:49 | DEBUG    | coda_biattn |   batch 4450 | loss 0.6820 | grad 1.7311 | lr 9.15e-06 | GPU 0.79 GB
2026-04-11 19:25:51 | DEBUG    | coda_biattn |   batch 4500 | loss 1.1410 | grad 1.9184 | lr 9.26e-06 | GPU 0.79 GB
2026-04-11 19:25:52 | DEBUG    | coda_biattn |   batch 4550 | loss 0.8772 | grad 1.8526 | lr 9.38e-06 | GPU 0.79 GB
2026-04-11 19:25:54 | DEBUG    | coda_biattn |   batch 4600 | loss 1.4052 | grad 1.8401 | lr 9.49e-06 | GPU 0.79 GB
2026-04-11 19:25:56 | DEBUG    | coda_biattn |   batch 4650 | loss 0.4977 | grad 1.8872 | lr 9.61e-06 | GPU 0.78 GB
2026-04-11 19:25:58 | DEBUG    | coda_biattn |   batch 4700 | loss 1.0072 | grad 1.9252 | lr 9.73e-06 | GPU 0.78 GB
2026-04-11 19:26:00 | DEBUG    | coda_biattn |   batch 4750 | loss 0.8206 | grad 1.7405 | lr 9.85e-06 | GPU 0.79 GB
2026-04-11 19:26:01 | DEBUG    | coda_biattn |   batch 4800 | loss 0.8657 | grad 1.9159 | lr 9.97e-06 | GPU 0.79 GB
2026-04-11 19:26:03 | DEBUG    | coda_biattn |   batch 4850 | loss 0.5964 | grad 1.9148 | lr 1.01e-05 | GPU 0.79 GB
2026-04-11 19:26:05 | DEBUG    | coda_biattn |   batch 4900 | loss 0.9145 | grad 1.8402 | lr 1.02e-05 | GPU 0.79 GB
2026-04-11 19:26:07 | DEBUG    | coda_biattn |   batch 4950 | loss 0.8475 | grad 1.7867 | lr 1.03e-05 | GPU 0.79 GB
2026-04-11 19:26:09 | DEBUG    | coda_biattn |   batch 5000 | loss 1.1379 | grad 1.9523 | lr 1.05e-05 | GPU 0.79 GB
